amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol,rsi_14,macd_dif,macd_dea,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,tr,atr_14
428936.097,-0.05,16.94,17.22,16.77,17.03,-0.2943,16.99,2026-01-07,002636.SZ,251977.05,55.79065485048073,0.37273879691544565,0.31590253974005755,0.11367251435077619,16.371000000000002,17.828407936967803,14.913592063032201,0.1780475153585976,0.4499999999999993,0.7702894138496584
331107.389,-0.18,16.76,17.1,16.56,16.8,-1.0626,16.94,2026-01-08,002636.SZ,196600.38,53.988771392035964,0.34897900137370286,0.32251783206678664,0.05292233861383244,16.3715,17.82946216830562,14.91353783169438,0.1781097844798119,0.5400000000000027,0.7538401700032545
333675.791,-0.09,16.67,16.98,16.39,16.64,-0.537,16.76,2026-01-09,002636.SZ,200084.61,53.06591195166667,0.31920732109030325,0.32185572987148997,-0.005296817562373435,16.366000000000003,17.818292561507644,14.913707438492361,0.17747678864812916,0.5899999999999999,0.7421373007173078
377442.638,-0.07,16.6,16.83,16.24,16.78,-0.4199,16.67,2026-01-12,002636.SZ,228605.4,52.3168564988848,0.2866601947019909,0.31481662283759015,-0.05631285627119853,16.39,17.841039554758446,14.938960445241557,0.1770640091224459,0.5899999999999999,0.7312703506660715
388793.782,-0.57,16.03,16.63,15.93,16.58,-3.4337,16.6,2026-01-13,002636.SZ,239263.54,46.55424756132671,0.2124234410393342,0.29433798647793896,-0.16382909087720954,16.392500000000002,17.840734860278616,14.944265139721388,0.17669481290573297,0.6999999999999993,0.7290367541899235
420855.935,0.37,16.4,16.75,16.01,16.02,2.3082,16.03,2026-01-14,002636.SZ,257389.9,50.37533231414888,0.18135563186159231,0.27174151555466963,-0.18077176738615464,16.4255,17.84083667186883,15.010163328131169,0.17233407468495082,0.7399999999999984,0.7298198431763574
828094.311,1.64,18.04,18.04,16.12,16.3,10.0,16.4,2026-01-15,002636.SZ,479961.92,63.00177846159151,0.2857742357039683,0.2745480595845294,0.02245235223887787,16.561,18.051628973568537,15.070371026431461,0.18001678323392764,1.9199999999999982,0.8148327115209032
1301989.985,0.48,18.52,18.86,18.0,18.14,2.6608,18.04,2026-01-16,002636.SZ,706758.69,65.74867890309575,0.40261759500264915,0.30016196666815337,0.20491125666899157,16.69,18.386659256179282,14.99334074382072,0.2033144704828377,0.8599999999999994,0.8180589464122673
615559.842,1.85,20.37,20.37,18.96,18.96,9.9892,18.52,2026-01-19,002636.SZ,306283.5,73.8171914002436,0.6371516503505887,0.36755990340464045,0.5391834938918966,16.950499999999998,19.175614781190745,14.72538521880925,0.2625426720380812,1.8500000000000014,0.891769021668534
2000978.508,0.15,20.52,22.41,20.24,20.98,0.7364,20.37,2026-01-20,002636.SZ,942623.86,74.34489988449036,0.8256082276135004,0.4591695682464125,0.7328773187341758,17.2285,19.772903766369566,14.684096233630434,0.29537147939397695,2.1700000000000017,0.983071234406496
1217208.599,0.66,21.18,21.65,20.11,20.52,3.2164,20.52,2026-01-21,002636.SZ,578383.36,76.58143388956637,1.0165003240147712,0.5706357194000843,0.8917292092293738,17.496000000000002,20.504020156707355,14.487979843292651,0.34385232701272883,1.5399999999999991,1.0228518605203176
156943.93,2.12,23.3,23.3,23.3,23.3,10.0094,21.18,2026-01-22,002636.SZ,67357.91,82.00735439440258,1.3235924186423773,0.7212270592485429,1.2047307187876688,17.8515,21.756478064497976,13.946521935502028,0.43749579189401155,2.120000000000001,1.1012195847688664
2050883.346,2.33,25.63,25.63,24.19,24.9,10.0,23.3,2026-01-23,002636.SZ,811188.93,85.87961381108266,1.734976909662386,0.9239770293313117,1.6219997606621486,18.3,23.480822938085154,13.119177061914849,0.5662101571677762,2.3299999999999983,1.188989614428233
2163826.87,0.73,26.36,27.13,25.23,25.51,2.8482,25.63,2026-01-26,002636.SZ,834326.74,86.83553944699509,2.0957484976733625,1.1583313229997219,1.8748343493472812,18.8,25.018722156774466,12.581277843225536,0.6615661868909005,1.8999999999999986,1.239776070540502
1612318.69,0.4,26.76,27.54,25.21,25.49,1.5175,26.36,2026-01-27,002636.SZ,608384.84,87.34123673723651,2.3864299583922346,1.4039510500782244,1.9649578166280204,19.278,26.385095342720966,12.170904657279031,0.7373270404316804,2.3299999999999983,1.3176492083590376
1372627.791,-0.34,26.42,26.94,25.49,26.55,-1.2706,26.76,2026-01-28,002636.SZ,524885.7,84.3743457693399,2.5598535534467146,1.6351315507519226,1.849444005389584,19.7215,27.454064836286094,11.988935163713906,0.7841761363269624,1.4500000000000028,1.3271028363333925
1479408.931,-1.8,24.62,26.6,24.57,26.3,-6.813,26.42,2026-01-29,002636.SZ,587970.7,70.68486559184895,2.5229648765982624,1.8126982159211906,1.4205333213541436,20.091500000000003,28.025629541351535,12.15737045864847,0.7897996208696743,2.030000000000001,1.377309776595293
1081746.956,0.84,25.46,26.16,24.24,24.71,3.4119,24.62,2026-01-30,002636.SZ,426504.1,72.89499401920845,2.5323203021261342,1.9566226331621794,1.1513953379279096,20.529,28.641012924312328,12.416987075687674,0.7902979126418557,1.9200000000000017,1.4160733639813436
766943.14,-1.18,24.28,25.58,24.27,25.34,-4.6347,25.46,2026-02-02,002636.SZ,309681.93,65.43215228643115,2.4166606463189026,2.048630235793524,0.7360608210507573,20.892500000000002,28.99209810568919,12.792901894310813,0.7753593974573831,1.3099999999999987,1.4084966951255333
657507.964,0.17,24.45,24.76,23.79,24.67,0.7002,24.28,2026-02-03,002636.SZ,270701.96,65.97264067882703,2.3120650681643014,2.1013172022676794,0.42149573179324396,21.2655,29.295185646334296,13.235814353665702,0.7551842793571086,0.9700000000000024,1.3771755026165668
564047.985,-0.44,24.01,24.34,23.44,24.18,-1.7996,24.45,2026-02-04,002636.SZ,237015.94,63.21752426709412,2.1686689306566898,2.1147875479454816,0.10776276542241625,21.619,29.467343841386615,13.770656158613384,0.7260598400838721,1.009999999999998,1.3509486810010978
446139.939,-0.55,23.46,24.35,23.12,23.92,-2.2907,24.01,2026-02-05,002636.SZ,189393.46,59.852757646039464,1.9877327097529296,2.089376580306971,-0.2032877411080829,21.954,29.495021569773495,14.412978430226506,0.6869838361823353,1.2300000000000004,1.3423094895010195
537924.3,0.13,23.59,24.3,23.02,23.12,0.5541,23.46,2026-02-06,002636.SZ,227459.17,60.389411319068316,1.8336917080790052,2.038239605861378,-0.4090957955647454,22.3,29.444814829466754,15.155185170533247,0.6407905676651796,1.2800000000000011,1.337858811679518
678137.893,0.71,24.3,24.76,23.8,24.47,3.0097,23.59,2026-02-09,002636.SZ,279009.63,63.27663564298385,1.7487457186412705,1.9803408284173565,-0.463190219552172,22.685000000000002,29.3503116166739,16.019688383326105,0.5876404334735637,1.1700000000000017,1.3258688965595526
856767.777,0.55,24.85,25.49,24.27,24.3,2.2634,24.3,2026-02-10,002636.SZ,342872.75,65.3816936694929,1.706138510749696,1.9255003648838245,-0.4387237082682569,23.125999999999998,29.06487956826162,17.187120431738375,0.5136106173364717,1.2199999999999989,1.3183068325195844
1901799.929,1.75,26.6,27.34,24.88,25.2,7.0423,24.85,2026-02-11,002636.SZ,715398.37,71.06504456419978,1.7929147608545932,1.8989832440779784,-0.21213696644677027,23.636000000000003,28.850584405905742,18.421415594094263,0.44124085343592306,2.4899999999999984,1.4019992016253282
1251323.916,-0.4,26.2,26.66,25.36,26.5,-1.5038,26.6,2026-02-12,002636.SZ,479412.42,68.30474538199502,1.808560942437012,1.8808987837497853,-0.14467568262554664,24.044,28.65727786195222,19.43072213804778,0.38373630526969055,1.3000000000000007,1.3947135443663763
674589.9,-0.69,25.51,26.59,25.45,25.55,-2.6336,26.2,2026-02-13,002636.SZ,261318.47,63.707827928734105,1.7451662306575741,1.8537522731313432,-0.21717208494753804,24.3935,28.240102191681913,20.546897808318086,0.3153792765844929,1.1400000000000006,1.376519719768778
827504.446,0.16,25.67,26.56,25.5,25.66,0.6272,25.51,2026-02-24,002636.SZ,319333.41,64.3076827424966,1.6883736076889768,1.82067654004287,-0.26460586470778624,24.6585,28.040154998120776,21.276845001879224,0.2742790516958271,1.0599999999999987,1.3539111683567224
1130917.655,1.45,27.12,27.34,25.5,25.67,5.6486,25.67,2026-02-25,002636.SZ,429804.74,69.2655150143409,1.7403067537085803,1.8046025827760122,-0.12859165813486362,24.988500000000002,27.9290640346887,22.047935965311304,0.23535338533234873,1.8399999999999999,1.3886317991883852
