ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300408.SZ,20241008,43.5,43.88,38.2,40.92,37.1,3.82,10.2965,559610.05,2282040.615
300408.SZ,20241009,38.88,39.77,36.51,36.67,40.92,-4.25,-10.3861,476932.57,1822806.349
300408.SZ,20241010,37.28,37.68,35.94,36.7,36.67,0.03,0.0818,245535.15,907012.509
300408.SZ,20241011,36.89,36.89,34.3,35.24,36.7,-1.46,-3.9782,197382.18,695975.229
300408.SZ,20241014,35.24,36.15,34.44,35.85,35.24,0.61,1.731,188995.51,667711.588
300408.SZ,20241015,36.2,36.38,35.01,35.03,35.85,-0.82,-2.2873,170072.31,607230.464
300408.SZ,20241016,34.56,34.89,34.15,34.45,35.03,-0.58,-1.6557,131711.47,453183.468
300408.SZ,20241017,34.63,34.86,34.21,34.29,34.45,-0.16,-0.4644,117539.6,405138.785
300408.SZ,20241018,34.18,37.49,34.11,36.25,34.29,1.96,5.716,250228.3,893312.88
300408.SZ,20241021,36.45,37.57,35.61,36.28,36.25,0.03,0.0828,236933.46,867033.856
300408.SZ,20241022,36.7,36.93,35.92,36.21,36.28,-0.07,-0.1929,159045.45,577679.61
300408.SZ,20241023,36.2,37.38,36.04,36.78,36.21,0.57,1.5742,164450.3,604016.86
300408.SZ,20241024,36.5,36.79,36.12,36.33,36.78,-0.45,-1.2235,101122.19,368144.561
300408.SZ,20241025,36.58,37.39,36.42,37.05,36.33,0.72,1.9818,165284.15,609137.452
300408.SZ,20241028,37.11,37.4,36.11,37.19,37.05,0.14,0.3779,140122.86,516293.424
300408.SZ,20241029,37.2,38.28,37.2,38.07,37.19,0.88,2.3662,223779.24,847770.506
300408.SZ,20241030,37.3,37.8,36.2,37.41,38.07,-0.66,-1.7336,326352.86,1199899.326
300408.SZ,20241031,37.05,37.55,36.74,37.17,37.41,-0.24,-0.6415,209330.53,776911.501
300408.SZ,20241101,36.96,36.96,36.19,36.34,37.17,-0.83,-2.233,175155.34,639505.384
300408.SZ,20241104,36.37,36.96,36.26,36.38,36.34,0.04,0.1101,171398.23,624767.209
300408.SZ,20241105,36.3,37.75,36.2,37.59,36.38,1.21,3.326,237663.33,888191.259
300408.SZ,20241106,37.69,38.88,37.48,37.93,37.59,0.34,0.9045,222033.28,847514.052
300408.SZ,20241107,37.75,38.17,36.98,38.02,37.93,0.09,0.2373,164921.57,617306.057
300408.SZ,20241108,38.25,38.76,37.0,37.27,38.02,-0.75,-1.9726,218429.08,823697.994
300408.SZ,20241111,37.12,38.37,36.86,38.29,37.27,1.02,2.7368,295088.74,1119609.214
300408.SZ,20241112,38.65,38.74,37.3,37.64,38.29,-0.65,-1.6976,270583.03,1025717.825
300408.SZ,20241113,37.61,37.61,36.51,37.1,37.64,-0.54,-1.4346,180971.59,668386.55
300408.SZ,20241114,37.11,37.29,36.18,36.26,37.1,-0.84,-2.2642,133319.3,490678.533
300408.SZ,20241115,36.28,36.61,35.53,35.53,36.26,-0.73,-2.0132,140556.73,508248.734
300408.SZ,20241118,37.01,38.18,35.41,35.67,35.53,0.14,0.394,286342.44,1053038.175
300408.SZ,20241119,36.18,37.0,35.75,36.9,35.67,1.23,3.4483,210442.9,767092.093
300408.SZ,20241120,36.8,37.45,36.5,37.2,36.9,0.3,0.813,185659.4,686051.012
300408.SZ,20241121,36.9,37.13,36.33,36.46,37.2,-0.74,-1.9892,136171.94,497654.186
300408.SZ,20241122,36.4,36.89,35.22,35.23,36.46,-1.23,-3.3736,125876.0,455116.004
300408.SZ,20241125,35.25,35.5,34.35,34.58,35.23,-0.65,-1.845,141746.94,492003.248
300408.SZ,20241126,34.44,35.3,34.44,34.79,34.58,0.21,0.6073,69691.85,243393.58
300408.SZ,20241127,34.64,36.28,34.11,36.28,34.79,1.49,4.2828,125184.53,444333.288
300408.SZ,20241128,36.23,36.78,35.95,36.34,36.28,0.06,0.1654,100485.53,365689.077
300408.SZ,20241129,36.39,36.9,36.16,36.55,36.34,0.21,0.5779,126907.0,464016.231
300408.SZ,20241202,36.63,37.1,36.5,36.82,36.55,0.27,0.7387,133854.35,492979.448
300408.SZ,20241203,36.84,36.94,36.25,36.4,36.82,-0.42,-1.1407,107321.29,390866.048
300408.SZ,20241204,36.38,36.63,35.82,36.05,36.4,-0.35,-0.9615,108359.82,392279.637
300408.SZ,20241205,35.77,36.32,35.67,36.06,36.05,0.01,0.0277,74317.38,267479.254
300408.SZ,20241206,35.9,36.85,35.9,36.77,36.06,0.71,1.9689,130703.8,478701.606
300408.SZ,20241209,37.12,38.17,36.61,37.96,36.77,1.19,3.2363,240010.28,904625.442
300408.SZ,20241210,39.03,39.14,37.56,37.73,37.96,-0.23,-0.6059,173571.95,664148.487
300408.SZ,20241211,37.6,38.14,37.06,38.03,37.73,0.3,0.7951,127214.63,480289.343
300408.SZ,20241212,38.03,38.3,37.79,38.04,38.03,0.01,0.0263,102531.8,390141.471
300408.SZ,20241213,37.92,38.6,37.45,38.21,38.04,0.17,0.4469,183921.82,699583.339
300408.SZ,20241216,38.18,38.34,37.27,37.53,38.21,-0.68,-1.7796,133286.88,502104.299
300408.SZ,20241217,37.5,38.46,37.14,37.32,37.53,-0.21,-0.5596,137079.94,517714.227
300408.SZ,20241218,37.54,38.4,37.19,38.06,37.32,0.74,1.9829,133904.95,506995.9
300408.SZ,20241219,37.99,38.56,37.45,38.27,38.06,0.21,0.5518,102832.64,392087.61
300408.SZ,20241220,38.39,39.13,38.05,38.83,38.27,0.56,1.4633,126171.35,488108.797
300408.SZ,20241223,38.88,39.12,37.6,37.68,38.83,-1.15,-2.9616,132486.49,506072.226
300408.SZ,20241224,37.85,39.99,37.79,39.84,37.68,2.16,5.7325,293918.03,1151761.734
300408.SZ,20241225,39.96,40.08,39.11,39.34,39.84,-0.5,-1.255,133775.54,528669.39
300408.SZ,20241226,39.44,40.17,39.06,39.95,39.34,0.61,1.5506,144918.27,575969.415
300408.SZ,20241227,39.89,40.03,39.0,39.1,39.95,-0.85,-2.1277,150764.21,595811.522
300408.SZ,20241230,38.8,39.6,38.74,38.89,39.1,-0.21,-0.5371,107523.0,419927.542
300408.SZ,20241231,39.0,39.35,38.33,38.51,38.89,-0.38,-0.9771,124640.42,483139.137
300408.SZ,20250102,38.51,38.75,36.78,37.03,38.51,-1.48,-3.8432,170242.0,636715.497
300408.SZ,20250103,36.96,37.25,36.31,36.42,37.03,-0.61,-1.6473,138420.0,506958.48
300408.SZ,20250106,36.42,36.69,35.91,36.3,36.42,-0.12,-0.3295,124928.45,453500.366
300408.SZ,20250107,36.5,37.3,36.3,37.01,36.3,0.71,1.9559,134821.05,496354.049
300408.SZ,20250108,36.98,37.25,36.0,36.93,37.01,-0.08,-0.2162,99261.49,363912.685
300408.SZ,20250109,36.95,38.37,36.76,37.79,36.93,0.86,2.3287,151991.4,576100.024
300408.SZ,20250110,37.5,38.06,37.39,37.39,37.79,-0.4,-1.0585,93139.63,351950.72
300408.SZ,20250113,37.22,37.68,36.28,36.5,37.39,-0.89,-2.3803,83117.94,306345.717
300408.SZ,20250114,36.47,37.46,35.65,37.0,36.5,0.5,1.3699,186446.88,683772.055
300408.SZ,20250115,37.0,37.66,36.55,36.87,37.0,-0.13,-0.3514,118653.79,440885.459
300408.SZ,20250116,36.98,37.23,36.21,36.32,36.87,-0.55,-1.4917,88394.56,323376.133
300408.SZ,20250117,36.5,38.5,36.36,37.87,36.32,1.55,4.2676,171611.7,646264.589
300408.SZ,20250120,37.94,38.21,37.37,37.49,37.87,-0.38,-1.0034,120193.09,452833.632
300408.SZ,20250121,37.64,38.13,37.12,37.95,37.49,0.46,1.227,114374.04,431603.294
300408.SZ,20250122,37.83,38.08,37.05,37.77,37.95,-0.18,-0.4743,90059.41,339080.821
300408.SZ,20250123,38.0,38.11,37.3,37.43,37.77,-0.34,-0.9002,103372.31,389439.698
300408.SZ,20250124,37.41,38.76,37.29,38.64,37.43,1.21,3.2327,170511.5,651913.176
300408.SZ,20250127,38.8,39.04,37.88,37.9,38.64,-0.74,-1.9151,139079.14,535403.652
300408.SZ,20250205,38.1,38.29,37.4,37.77,37.9,-0.13,-0.343,95192.31,360020.791
300408.SZ,20250206,37.7,38.93,37.45,38.77,37.77,1.0,2.6476,136073.54,522333.033
300408.SZ,20250207,38.6,38.86,37.47,37.85,38.77,-0.92,-2.373,221898.38,847521.343
300408.SZ,20250210,37.81,38.48,37.44,38.34,37.85,0.49,1.2946,130373.77,496490.532
300408.SZ,20250211,38.18,38.98,37.98,38.38,38.34,0.04,0.1043,104898.69,403259.218
300408.SZ,20250212,38.35,39.43,38.23,39.31,38.38,0.93,2.4231,164443.8,641803.475
300408.SZ,20250213,39.19,39.7,38.68,38.69,39.31,-0.62,-1.5772,124657.89,488050.956
300408.SZ,20250214,38.59,38.75,37.88,38.2,38.69,-0.49,-1.2665,101326.05,387928.596
300408.SZ,20250217,38.2,38.99,37.87,38.21,38.2,0.01,0.0262,131577.74,504380.694
300408.SZ,20250218,38.32,38.39,36.99,37.24,38.21,-0.97,-2.5386,124783.54,470670.864
300408.SZ,20250219,37.44,38.14,37.12,37.74,37.24,0.5,1.3426,95031.31,358910.324
300408.SZ,20250220,37.86,39.06,37.66,38.88,37.74,1.14,3.0207,130758.41,504417.017
300408.SZ,20250221,39.14,39.79,38.55,39.65,38.88,0.77,1.9805,160561.73,631493.297
300408.SZ,20250224,39.31,40.3,39.0,40.07,39.65,0.42,1.0593,206430.82,822433.326
300408.SZ,20250225,39.39,40.0,38.3,38.57,40.07,-1.5,-3.7434,183810.46,715742.592
300408.SZ,20250226,38.66,39.13,38.14,38.41,38.57,-0.16,-0.4148,120148.49,462229.598
300408.SZ,20250227,38.99,41.0,38.99,40.6,38.41,2.19,5.7016,285275.8,1139714.163
300408.SZ,20250228,40.6,40.6,38.78,38.9,40.6,-1.7,-4.1872,179382.36,710139.613
300408.SZ,20250303,39.26,41.13,38.87,40.1,38.9,1.2,3.0848,206398.17,829602.649
300408.SZ,20250304,39.88,40.29,39.41,39.57,40.1,-0.53,-1.3217,129282.04,512028.068
300408.SZ,20250305,39.59,40.46,39.43,39.88,39.57,0.31,0.7834,121732.42,486713.654
300408.SZ,20250306,39.9,40.88,39.86,40.27,39.88,0.39,0.9779,135838.2,547938.552
300408.SZ,20250307,40.2,41.35,39.95,40.3,40.27,0.03,0.0745,136368.88,554161.49
300408.SZ,20250310,39.92,40.07,38.91,39.35,40.3,-0.95,-2.3573,145859.49,573489.351
300408.SZ,20250311,39.1,39.44,38.73,39.2,39.35,-0.15,-0.3812,81974.7,320376.906
300408.SZ,20250312,39.2,39.36,38.46,38.6,39.2,-0.6,-1.5306,118140.39,457679.133
300408.SZ,20250313,38.61,38.82,37.9,38.5,38.6,-0.1,-0.2591,92756.42,356304.105
300408.SZ,20250314,38.5,39.5,38.5,39.05,38.5,0.55,1.4286,126984.8,496631.233
300408.SZ,20250317,39.24,39.48,38.42,38.63,39.05,-0.42,-1.0755,108416.71,418577.133
300408.SZ,20250318,38.62,39.28,38.54,39.01,38.63,0.38,0.9837,92141.5,359094.119
300408.SZ,20250319,39.03,39.25,38.18,38.42,39.01,-0.59,-1.5124,110093.83,423893.863
300408.SZ,20250320,38.49,38.75,38.2,38.41,38.42,-0.01,-0.026,56319.72,217074.171
300408.SZ,20250321,38.41,39.09,37.85,37.97,38.41,-0.44,-1.1455,110056.31,423363.386
300408.SZ,20250324,37.94,38.45,37.75,38.14,37.97,0.17,0.4477,95628.99,364405.964
300408.SZ,20250325,38.15,39.98,38.14,39.1,38.14,0.96,2.517,214534.66,846887.847
300408.SZ,20250326,39.05,39.69,38.95,39.26,39.1,0.16,0.4092,96916.12,380209.81
300408.SZ,20250327,39.21,39.74,38.88,39.44,39.26,0.18,0.4585,74190.58,291844.089
300408.SZ,20250328,39.35,39.9,38.7,38.85,39.44,-0.59,-1.4959,93801.16,365844.947
300408.SZ,20250331,38.85,39.85,38.74,39.64,38.85,0.79,2.0335,129716.12,512175.995
300408.SZ,20250401,39.78,40.11,39.25,39.38,39.64,-0.26,-0.6559,106610.92,423138.901
300408.SZ,20250402,39.58,39.88,39.3,39.51,39.38,0.13,0.3301,58912.66,232502.8
300408.SZ,20250403,39.75,39.75,37.8,38.08,39.51,-1.43,-3.6193,152873.15,587471.401
300408.SZ,20250407,36.78,37.0,34.33,35.2,38.08,-2.88,-7.563,259555.07,928877.938
300408.SZ,20250408,36.08,36.2,33.38,33.84,35.2,-1.36,-3.8636,266575.37,916461.96
300408.SZ,20250409,33.67,35.59,32.68,34.0,33.84,0.16,0.4728,206032.29,706540.574
300408.SZ,20250410,34.71,35.89,34.48,34.9,34.0,0.9,2.6471,146332.67,515373.37
300408.SZ,20250411,35.24,36.37,34.8,35.92,34.9,1.02,2.9226,126814.6,453518.991
300408.SZ,20250414,36.46,36.8,36.02,36.58,35.92,0.66,1.8374,91593.36,334902.397
300408.SZ,20250415,36.64,36.8,36.05,36.6,36.58,0.02,0.0547,60359.36,219875.944
300408.SZ,20250416,36.28,36.63,35.01,35.43,36.6,-1.17,-3.1967,114677.65,407573.302
300408.SZ,20250417,35.3,35.9,35.12,35.43,35.43,0.0,0.0,67434.06,239713.351
300408.SZ,20250418,35.43,36.21,35.34,36.04,35.43,0.61,1.7217,55754.5,200229.727
300408.SZ,20250421,35.98,36.72,35.86,36.47,36.04,0.43,1.1931,68394.24,248449.156
300408.SZ,20250422,36.35,36.61,36.02,36.04,36.47,-0.43,-1.1791,71520.55,259818.041
300408.SZ,20250423,36.04,36.53,35.98,36.22,36.04,0.18,0.4994,77918.7,282641.21
300408.SZ,20250424,36.23,36.29,35.41,35.62,36.22,-0.6,-1.6565,89505.01,319270.837
300408.SZ,20250425,35.63,35.75,35.04,35.31,35.62,-0.31,-0.8703,69801.75,246533.711
300408.SZ,20250428,35.32,35.98,35.16,35.36,35.31,0.05,0.1416,69226.1,246598.969
300408.SZ,20250429,35.16,35.16,33.2,34.67,35.36,-0.69,-1.9514,182061.92,622188.931
300408.SZ,20250430,34.64,34.9,34.15,34.31,34.67,-0.36,-1.0384,91840.14,316415.835
300408.SZ,20250506,34.99,35.44,34.21,34.28,34.31,-0.03,-0.0874,149218.06,516900.839
300408.SZ,20250507,34.66,35.3,34.55,34.88,34.28,0.6,1.7503,154105.2,536737.979
300408.SZ,20250508,34.7,34.96,34.43,34.79,34.88,-0.09,-0.258,117721.32,407980.89
300408.SZ,20250509,34.6,34.73,33.83,33.91,34.79,-0.88,-2.5295,129474.27,440992.74
300408.SZ,20250512,34.08,34.38,33.66,34.13,33.91,0.22,0.6488,100735.55,342533.435
300408.SZ,20250513,34.7,35.78,34.58,35.04,34.13,0.91,2.6663,175217.44,617024.182
300408.SZ,20250514,35.0,35.36,34.34,35.0,35.04,-0.04,-0.1142,109781.19,382524.429
300408.SZ,20250515,34.92,35.36,34.61,34.64,35.0,-0.36,-1.0286,80737.88,282158.09
300408.SZ,20250516,34.62,34.65,33.9,33.94,34.64,-0.7,-2.0208,111768.0,381723.291
300408.SZ,20250519,33.98,34.07,33.53,33.89,33.94,-0.05,-0.1473,77824.91,262937.751
300408.SZ,20250520,33.89,33.96,33.42,33.46,33.89,-0.43,-1.2688,142266.57,477795.442
300408.SZ,20250521,33.46,33.57,33.14,33.26,33.46,-0.2,-0.5977,85890.12,286079.141
300408.SZ,20250522,33.12,33.95,33.0,33.38,33.26,0.12,0.3608,122315.37,411038.796
300408.SZ,20250523,33.38,33.4,32.85,32.88,33.38,-0.5,-1.4979,82664.49,274051.518
