ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000300.SH,20250108,3781.261,3810.7355,3731.1887,3789.2153,3796.1055,-6.8902,-0.1815,169166968.0,300965725.4327
000300.SH,20250109,3780.7341,3795.2608,3768.681,3779.8773,3789.2153,-9.338,-0.2464,129794002.0,251486002.8198
000300.SH,20250110,3778.8928,3786.8069,3732.4806,3732.4806,3779.8773,-47.3967,-1.2539,137523171.0,275354209.0643
000300.SH,20250113,3704.4442,3737.8852,3704.1073,3722.513,3732.4806,-9.9676,-0.2671,136446199.0,247861953.1967
000300.SH,20250114,3728.5561,3826.6399,3718.8768,3820.5395,3722.513,98.0265,2.6333,170664657.0,345461480.0636
000300.SH,20250115,3810.0353,3816.8284,3790.1655,3796.026,3820.5395,-24.5135,-0.6416,141475520.0,278850595.5317
000300.SH,20250116,3812.1935,3842.947,3776.2861,3800.3836,3796.026,4.3576,0.1148,144505871.0,305734630.7713
000300.SH,20250117,3788.3729,3831.6404,3780.2133,3812.3429,3800.3836,11.9593,0.3147,126621961.0,265437489.5936
000300.SH,20250120,3835.3042,3858.6677,3821.9815,3829.6764,3812.3429,17.3335,0.4547,139581277.0,292175449.1086
000300.SH,20250121,3850.3563,3850.9106,3817.1214,3832.6145,3829.6764,2.9381,0.0767,141218406.0,285073351.6934
000300.SH,20250122,3823.9447,3823.9447,3783.1438,3797.0166,3832.6145,-35.5979,-0.9288,137255062.0,298745637.5514
000300.SH,20250123,3829.0462,3864.2585,3801.8531,3803.7439,3797.0166,6.7273,0.1772,180569551.0,345198071.1139
000300.SH,20250124,3793.8498,3847.6003,3793.4836,3832.8637,3803.7439,29.1198,0.7656,148971722.0,296474375.4691
000300.SH,20250127,3836.9578,3851.9969,3817.0802,3817.0802,3832.8637,-15.7835,-0.4118,146670772.0,282940127.5406
000300.SH,20250205,3844.6998,3844.6998,3785.162,3795.0848,3817.0802,-21.9954,-0.5762,157168308.0,346016202.0252
000300.SH,20250206,3789.6086,3843.4942,3788.3196,3842.8314,3795.0848,47.7466,1.2581,167288176.0,371891971.1014
000300.SH,20250207,3844.0574,3919.3499,3833.8685,3892.7028,3842.8314,49.8714,1.2978,221857707.0,487381557.0782
000300.SH,20250210,3898.1023,3906.3678,3878.8314,3901.0618,3892.7028,8.359,0.2147,188903040.0,384968342.8743
000300.SH,20250211,3905.1594,3905.1594,3872.9087,3883.1352,3901.0618,-17.9266,-0.4595,166574909.0,337866056.1159
000300.SH,20250212,3875.9596,3920.7229,3867.3538,3919.8617,3883.1352,36.7265,0.9458,164228540.0,354830596.2979
000300.SH,20250213,3913.9044,3939.1978,3904.9845,3905.1398,3919.8617,-14.7219,-0.3756,172485874.0,376473453.3066
000300.SH,20250214,3900.8274,3942.0356,3900.8274,3939.0085,3905.1398,33.8687,0.8673,172976452.0,360974236.8544
000300.SH,20250217,3954.4147,3955.8959,3921.7017,3947.3983,3939.0085,8.3898,0.213,213588246.0,430929575.5632
000300.SH,20250218,3942.5761,3965.4232,3901.8675,3912.7829,3947.3983,-34.6154,-0.8769,209425101.0,400186229.9407
000300.SH,20250219,3906.2201,3943.6742,3904.1455,3940.1602,3912.7829,27.3773,0.6997,182829517.0,363680372.5627
000300.SH,20250220,3934.6503,3940.678,3916.1772,3928.8959,3940.1602,-11.2643,-0.2859,163895236.0,325972429.3626
000300.SH,20250221,3938.0518,3981.048,3927.7874,3978.444,3928.8959,49.5481,1.2611,227400330.0,504645493.5771
000300.SH,20250224,3972.4831,3995.9456,3949.2309,3969.7169,3978.444,-8.7271,-0.2194,220810618.0,455088749.6845
000300.SH,20250225,3933.636,3955.4336,3915.6527,3925.6505,3969.7169,-44.0664,-1.1101,178108580.0,377981451.2504
000300.SH,20250226,3931.842,3960.3298,3925.3664,3959.9413,3925.6505,34.2908,0.8735,191062501.0,386458193.7626
